City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,lebu,-37.6167,-73.65,10.68,65,73,2.98,CL,1722885901
116,castelo do piaui,-5.3222,-41.5525,35.53,22,92,3.24,BR,1722885902
117,guozhen,34.3659,107.359,23.67,86,3,0.85,CN,1722885903
118,morehead city,34.7229,-76.726,29.0,82,40,3.13,US,1722885904
119,borogontsy,62.6683,131.1683,11.95,92,100,3.88,RU,1722885906
120,palikir - national government center,6.9248,158.1611,24.41,88,100,1.54,FM,1722885907
121,olonkinbyen,70.9221,-8.7187,6.37,96,99,2.45,SJ,1722885739
122,kumburgaz,41.0211,28.4772,24.95,68,0,6.63,TR,1722885909
123,vernon,50.2581,-119.2691,32.94,31,0,1.03,CA,1722885910
124,padang,-0.9492,100.3543,26.03,89,100,2.6,ID,1722885911
125,kampong thom,12.7111,104.8887,26.14,84,9,1.0,KH,1722885912
126,mineros,-17.1167,-63.2333,32.41,39,49,3.93,BO,1722885913
127,kodiak,57.79,-152.4072,12.73,100,100,6.69,US,1722885842
128,hangu,39.2489,117.7892,27.02,78,0,1.22,CN,1722885915
129,ilulissat,69.2167,-51.1,9.01,76,20,2.06,GL,1722885916
130,taltal,-25.4,-70.4833,16.24,68,24,3.07,CL,1722885918
131,mejit,10.2753,170.8646,28.34,79,100,6.71,MH,1722885919
132,west island,-12.1568,96.8225,25.99,73,20,4.12,CC,1722885920
133,utrik,11.2278,169.8474,28.03,81,94,6.73,MH,1722885921
134,kassala,15.451,36.4,25.46,79,100,8.0,SD,1722885922
135,haiku-pauwela,20.9219,-156.3051,28.45,75,20,7.2,US,1722885923
136,laguna,38.421,-121.4238,34.62,36,0,3.09,US,1722885924
137,invercargill,-46.4,168.35,3.9,92,95,1.79,NZ,1722885637
138,mikhaylovskoye,51.8239,79.7172,20.8,52,100,1.15,RU,1722885926
139,labytnangi,66.6572,66.4183,7.48,64,35,5.6,RU,1722885927
140,bull savanna,17.8868,-77.5902,30.05,62,89,9.12,JM,1722885928
141,don luan,11.5333,106.9167,25.52,96,100,1.18,VN,1722885930
142,susuman,62.7833,148.1667,11.06,66,94,2.84,RU,1722885919
143,vorkuta,67.5,64.0,6.84,72,6,2.09,RU,1722885932
144,kailua-kona,19.6406,-155.9956,28.11,77,100,3.09,US,1722885933
145,hamilton,39.1834,-84.5333,34.49,52,0,2.57,US,1722885778
146,benguela,-12.5763,13.4055,20.74,87,100,1.15,AO,1722885935
147,ribeira brava,32.65,-17.0667,26.11,74,66,3.56,PT,1722885936
148,namie,37.4833,141.0,27.06,94,6,0.77,JP,1722885937
149,enriquillo,17.9,-71.2333,32.82,65,6,5.34,DO,1722885938
150,iguape,-24.7081,-47.5553,21.22,81,31,3.19,BR,1722885939
151,tralee,52.2704,-9.7026,14.77,76,0,3.9,IE,1722885943
152,fergus falls,46.283,-96.0776,17.04,97,20,7.2,US,1722885714
153,qujing,25.4833,103.7833,15.98,96,41,1.16,CN,1722885945
154,praia da vitoria,38.7333,-27.0667,28.14,69,20,3.2,PT,1722885946
155,saldanha,-33.0117,17.9442,12.03,81,1,4.1,ZA,1722885947
156,fortaleza,-3.7227,-38.5247,29.07,61,20,8.23,BR,1722885736
157,qutqashen,40.9814,47.8458,22.11,50,0,2.77,AZ,1722885949
158,yanchep,-31.55,115.6833,12.19,90,2,3.84,AU,1722885951
159,taro,-8.3862,115.28,22.0,96,80,0.37,ID,1722885952
160,codrington,-38.2667,141.9667,5.77,96,100,5.1,AU,1722885953
161,noumea,-22.2763,166.4572,19.44,99,75,3.38,NC,1722885955
162,queenstown,-31.8976,26.8753,8.99,25,0,2.73,ZA,1722885956
163,nieuw amsterdam,5.8833,-55.0833,34.09,62,40,3.09,SR,1722885957
164,ceeldheer,3.8488,47.1806,24.38,81,2,9.15,SO,1722885895
165,mabaruma,8.2,-59.7833,25.48,95,100,1.72,GY,1722885959
166,kerikeri,-35.2268,173.9474,6.06,93,1,1.63,NZ,1722885693
167,port saint john's,-31.6229,29.5448,13.92,71,0,2.86,ZA,1722885962
168,egilsstadir,65.2653,-14.3948,9.95,93,75,8.23,IS,1722885963
169,port mathurin,-19.6833,63.4167,22.44,77,14,8.97,MU,1722885964
170,basco,20.4487,121.9702,29.12,71,100,5.87,PH,1722885599
171,awjilah,29.1081,21.2869,34.29,19,0,3.73,LY,1722885966
172,vorgashor,67.5833,63.95,6.22,72,6,3.03,RU,1722885967
173,dryden,49.7833,-92.7503,21.16,40,20,2.06,CA,1722885497
174,new norfolk,-42.7826,147.0587,11.07,83,100,2.01,AU,1722885577
175,brokopondo,4.75,-55.1667,31.44,52,10,1.73,SR,1722885970
176,ouani,-12.1322,44.4258,24.33,70,25,2.58,KM,1722885971
177,cruz del eje,-30.7264,-64.8039,24.5,25,0,4.83,AR,1722885972
178,ushuaia,-54.8,-68.3,-0.19,64,20,0.0,AR,1722885801
179,arteche,12.2645,125.4048,25.1,94,100,2.45,PH,1722885975
180,gadzhiyevo,69.2551,33.3362,10.58,79,2,2.61,RU,1722885976
181,nuuk,64.1835,-51.7216,11.34,66,75,2.06,GL,1722885450
182,choconta,5.1447,-73.6858,17.85,62,100,5.04,CO,1722885978
183,tindouf,27.6711,-8.1474,45.25,6,0,2.06,DZ,1722885979
184,richards bay,-28.783,32.0377,16.11,70,0,0.74,ZA,1722885392
185,talnakh,69.4865,88.3972,8.38,69,0,1.67,RU,1722885711
186,prainha,-1.8,-53.48,35.06,32,3,2.25,BR,1722885707
187,constantia,44.1833,28.65,22.61,61,100,5.4,RO,1722885845
188,midoun,33.8081,10.9923,27.92,71,0,3.63,TN,1722885984
189,alice springs,-23.7,133.8833,3.75,93,0,1.03,AU,1722885395
190,bucerias,20.75,-105.3333,33.88,58,40,4.12,MX,1722885783
191,kiunga,-6.1219,141.2906,22.66,99,97,1.42,PG,1722885431
192,tinajo,29.0788,-13.7081,23.49,69,20,7.72,ES,1722885989
193,timbuktu,16.7735,-3.0074,35.72,36,24,3.48,ML,1722885397
194,boende,-0.2167,20.8667,25.23,68,79,1.07,CD,1722885991
195,luba,3.4568,8.5547,24.94,91,100,4.08,GQ,1722885992
196,varadero,23.1536,-81.2514,33.42,63,100,1.66,CU,1722885834
197,crane,31.3974,-102.3501,33.08,30,100,3.82,US,1722885994
198,san martin,-33.081,-68.4681,23.3,10,0,2.88,AR,1722885950
199,kangaba,11.9333,-8.4167,23.73,93,100,1.59,ML,1722885996
200,al kharijah,25.4514,30.5464,36.04,15,83,4.44,EG,1722885997
201,caras,-9.0467,-77.8114,22.73,40,75,3.92,PE,1722885998
202,ust'-kulom,61.6864,53.6902,12.22,92,87,3.2,RU,1722885999
203,kolonia town,6.964,158.206,25.0,88,100,1.54,FM,1722886001
204,jamestown,42.097,-79.2353,28.9,65,100,4.63,US,1722886002
205,antsiranana,-12.2787,49.2917,22.49,81,9,6.34,MG,1722885964
206,rudsar,37.1376,50.288,26.99,86,0,0.17,IR,1722886004
207,sinabang,2.4803,96.3801,25.54,86,99,1.54,ID,1722886005
208,san patricio,28.017,-97.5169,34.53,40,12,2.9,US,1722885409
209,parun,35.4207,70.9221,13.89,65,6,3.18,AF,1722886007
210,urangan,-25.3,152.9,18.76,73,4,5.48,AU,1722886008
211,laojunmiao,39.8333,97.7333,22.13,36,7,2.72,CN,1722885593
212,college,64.8569,-147.8028,25.18,50,20,4.12,US,1722886010
213,nabire,-3.3667,135.4833,23.44,93,99,1.47,ID,1722886011
214,salalah,17.0151,54.0924,25.05,94,100,0.0,OM,1722886012
215,katsuren-haebaru,26.3369,127.8719,27.01,96,75,4.63,JP,1722885716
216,vadso,70.0744,29.7487,12.49,93,0,5.14,NO,1722886015
217,martuk,50.7475,56.5056,24.82,40,91,2.95,KZ,1722886016
218,slave lake,55.2834,-114.769,18.99,72,100,2.06,CA,1722886017
219,happy valley-goose bay,53.3168,-60.3315,24.17,41,75,4.63,CA,1722885743
220,el bauga,18.262,33.9081,34.75,38,100,4.78,SD,1722886019
221,koryazhma,61.3143,47.1691,14.9,99,74,2.54,RU,1722886021
222,adrar,20.5022,-10.0711,39.25,16,0,3.78,MR,1722886022
223,arhribs,36.7936,4.3116,25.63,40,0,2.29,DZ,1722886023
224,cartagena del chaira,1.3349,-74.8429,25.74,74,100,1.79,CO,1722886024
225,gillette,44.2911,-105.5022,27.84,39,0,3.6,US,1722885298
226,taoudenni,22.6783,-3.9836,42.48,11,13,3.81,ML,1722886027
227,scottburgh,-30.2867,30.7532,15.08,68,41,0.92,ZA,1722886028
228,st. john's,47.5649,-52.7093,23.49,90,100,11.32,CA,1722886029
229,sooke,48.3746,-123.7276,19.76,78,42,4.03,CA,1722886030
230,remire-montjoly,4.9167,-52.2667,32.02,66,20,6.17,GF,1722886031
231,lamu,-2.2717,40.902,23.86,78,17,6.29,KE,1722886032
232,horta,38.5333,-28.6333,25.8,91,20,5.14,PT,1722886033
233,craig,40.5153,-107.5464,29.66,19,16,2.68,US,1722886034
234,ulysses,37.5814,-101.3552,36.53,26,0,8.23,US,1722886035
235,udachny,66.4167,112.4,10.31,88,100,7.89,RU,1722886039
236,rocha,-34.4833,-54.3333,14.87,89,100,5.88,UY,1722886040
237,huesca,42.1362,-0.4087,32.38,43,0,3.6,ES,1722886041
238,sukhinichi,54.0999,35.3425,18.42,69,100,2.24,RU,1722886042
239,mount pearl,47.5166,-52.7813,23.03,89,100,11.32,CA,1722886043
240,itacarambi,-15.1022,-44.0919,28.57,36,72,2.04,BR,1722886044
241,kikwit,-5.041,18.8162,31.87,29,100,1.12,CD,1722886045
242,suoyarvi,62.0833,32.35,13.77,80,99,2.13,RU,1722885459
243,zaysan,47.4667,84.8667,20.02,44,1,2.67,KZ,1722886047
244,tura,25.5198,90.2201,24.31,99,100,2.54,IN,1722885866
245,qionghai,19.2425,110.4642,24.99,91,83,0.68,CN,1722886050
246,mstsislaw,54.0192,31.7257,16.57,78,100,1.63,BY,1722886051
247,selfoss,63.9331,-20.9971,11.69,96,100,0.83,IS,1722886052
248,golere,16.2557,-14.1017,33.44,47,100,4.15,SN,1722885918
249,sur,22.5667,59.5289,30.34,60,100,2.46,OM,1722886054
250,pauri,30.15,78.7833,20.55,97,100,2.05,IN,1722886055
251,veraval,20.9,70.3667,27.46,87,99,8.47,IN,1722886056
252,ruidoso,33.3317,-105.673,29.03,31,20,1.54,US,1722886057
253,east london,-33.0153,27.9116,15.23,51,0,2.51,ZA,1722886058
254,revda,56.801,59.9303,15.22,97,100,3.24,RU,1722885893
255,lubao,14.9167,120.55,26.04,89,100,2.13,PH,1722886060
256,magistral'nyy,56.1725,107.4458,13.41,78,58,1.39,RU,1722886062
257,afaahiti,-17.75,-149.2833,25.93,75,86,5.33,PF,1722886063
258,ust-nera,64.5667,143.2,11.54,66,99,2.08,RU,1722885941
259,tchintabaraden,15.8969,5.7985,33.67,42,58,4.24,NE,1722886065
260,hithadhoo,-0.6,73.0833,28.53,73,100,1.46,MV,1722886067
261,hadibu,12.65,54.0333,25.64,80,37,8.59,YE,1722886068
262,robore,-18.3333,-59.75,36.05,32,0,7.72,BO,1722886069
263,pushkinskiye gory,57.0209,28.9103,16.39,88,49,1.34,RU,1722886070
264,anar darah,32.7587,61.654,33.67,14,0,4.69,AF,1722886071
265,betio village,1.358,172.9211,28.95,62,100,5.82,KI,1722886072
266,puerto baquerizo moreno,-0.9,-89.6,20.55,100,100,2.57,EC,1722886074
267,wusong,30.95,117.7833,26.43,69,11,1.97,CN,1722886075
268,poyang,28.9924,116.6675,26.44,80,78,1.93,CN,1722886076
269,watsa,3.0372,29.5355,19.1,96,100,0.44,CD,1722886077
270,conception bay south,47.4999,-52.9981,23.36,90,100,6.58,CA,1722886078
271,bilmak,47.3624,36.6511,20.72,58,28,3.63,UA,1722886079
272,sterling,39.0062,-77.4286,35.62,46,0,1.34,US,1722886055
273,polyarnyy,69.1989,33.4478,11.07,75,3,2.6,RU,1722885584
274,salinopolis,-0.6136,-47.3561,28.5,70,55,6.7,BR,1722886013
275,nikolayevsk-on-amure,53.1406,140.73,14.94,83,100,1.65,RU,1722886083
276,osakarovka,50.565,72.5692,19.98,55,97,1.58,KZ,1722886084
277,meiktila,20.8667,95.8667,23.54,95,100,4.92,MM,1722886086
278,tabou,4.423,-7.3528,24.08,85,100,4.3,CI,1722886087
279,baganga,7.5739,126.56,24.54,84,76,2.11,PH,1722886088
280,kayangel,8.0823,134.7173,28.54,75,100,4.42,PW,1722885853
281,mozarlandia,-14.7447,-50.5706,33.85,17,0,3.79,BR,1722886090
282,georgetown,5.4112,100.3354,28.96,79,20,0.0,MY,1722886092
283,yangambi,0.8102,24.4336,22.78,85,76,1.01,CD,1722886093
284,sierra grande,-41.606,-65.3557,12.73,40,100,2.23,AR,1722886095
285,la passe,45.5549,-0.8967,23.9,74,0,5.06,FR,1722886096
286,island harbour,50.724,-1.2758,20.66,79,53,1.34,GB,1722886098
